"standard","agecat","age_start","age_end","pop","source","uploaded"
"2011 Canadian Standard Population (single age to 84)","65 years",65,65,344130,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","65 years",65,65,2033933,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","66 years",66,66,6221,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","66 years",66,66,317981,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","66 years",66,66,1862107,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","67 years",67,67,5923,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","67 years",67,67,306903,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","67 years",67,67,1849893,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","68 years",68,68,5618,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","68 years",68,68,292908,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","68 years",68,68,1788769,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","69 years",69,69,5311,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","69 years",69,69,271018,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","69 years",69,69,1875238,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","70 years",70,70,5005,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","70 years",70,70,257990,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","70 years",70,70,1843087,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","71 years",71,71,4706,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","71 years",71,71,240638,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","71 years",71,71,1784744,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","72 years",72,72,4412,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","72 years",72,72,230156,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","72 years",72,72,1802080,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","73 years",73,73,4125,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","73 years",73,73,218638,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","73 years",73,73,1674285,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","74 years",74,74,3844,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","74 years",74,74,206400,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","74 years",74,74,1621378,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","75 years",75,75,3569,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","75 years",75,75,200626,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","75 years",75,75,1610943,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","76 years",76,76,3300,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","76 years",76,76,190737,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","76 years",76,76,1530137,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","77 years",77,77,3035,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","77 years",77,77,180672,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","77 years",77,77,1450062,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","78 years",78,78,2773,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","78 years",78,78,176879,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","78 years",78,78,1456186,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","79 years",79,79,2518,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","79 years",79,79,170424,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","79 years",79,79,1367231,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","80 years",80,80,2271,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","80 years",80,80,163436,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","80 years",80,80,1172978,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","81 years",81,81,2033,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","81 years",81,81,152274,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","81 years",81,81,1065672,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","82 years",82,82,1807,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","82 years",82,82,138753,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","82 years",82,82,963587,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","83 years",83,83,1594,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","83 years",83,83,129386,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","83 years",83,83,890893,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","84 years",84,84,1392,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","84 years",84,84,117291,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","84 years",84,84,807104,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","85+ years",85,120,6348,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","85+ years",85,120,643070,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","85+ years",85,120,4259173,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
