"causeid","cause.of.death","icd10"
76,"Other diseases of respiratory system","J97"
76,"Other diseases of respiratory system","J98"
77,"Peptic ulcer","K25"
77,"Peptic ulcer","K26"
77,"Peptic ulcer","K27"
77,"Peptic ulcer","K28"
78,"Diseases of appendix","K35"
78,"Diseases of appendix","K36"
78,"Diseases of appendix","K37"
78,"Diseases of appendix","K38"
79,"Hernia","K40"
79,"Hernia","K41"
79,"Hernia","K42"
79,"Hernia","K43"
79,"Hernia","K44"
79,"Hernia","K45"
79,"Hernia","K46"
80,"Alcoholic liver disease","K70"
81,"Other chronic liver disease and cirrhosis","K73"
81,"Other chronic liver disease and cirrhosis","K74"
82,"Cholelithiasis and other disorders of gallbladder","K80"
82,"Cholelithiasis and other disorders of gallbladder","K81"
82,"Cholelithiasis and other disorders of gallbladder","K82"
83,"Acute and rapidly progressive nephritic and nephrotic syndrome","N00"
83,"Acute and rapidly progressive nephritic and nephrotic syndrome","N01"
83,"Acute and rapidly progressive nephritic and nephrotic syndrome","N04"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N02"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N03"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N05"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N06"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N07"
84,"Chronic glomerulonephritis, nephritis and nephritis not specified as acute or chronic, and renal sclerosis unspecified","N26"
85,"Renal failure","N17"
85,"Renal failure","N18"
85,"Renal failure","N19"
86,"Other disorders of kidney","N25"
86,"Other disorders of kidney","N27"
87,"Infections of kidney","N10"
87,"Infections of kidney","N11"
87,"Infections of kidney","N12"
87,"Infections of kidney","N136"
87,"Infections of kidney","N151"
88,"Hyperplasia of prostate","N40"
89,"Inflammatory diseases of female pelvic organs","N70"
89,"Inflammatory diseases of female pelvic organs","N71"
89,"Inflammatory diseases of female pelvic organs","N72"
89,"Inflammatory diseases of female pelvic organs","N73"
89,"Inflammatory diseases of female pelvic organs","N74"
89,"Inflammatory diseases of female pelvic organs","N75"
89,"Inflammatory diseases of female pelvic organs","N76"
90,"Pregnancy with abortive outcome","O00"
90,"Pregnancy with abortive outcome","O01"
90,"Pregnancy with abortive outcome","O02"
90,"Pregnancy with abortive outcome","O03"
90,"Pregnancy with abortive outcome","O04"
90,"Pregnancy with abortive outcome","O05"
90,"Pregnancy with abortive outcome","O06"
90,"Pregnancy with abortive outcome","O07"
91,"Other complications of pregnancy, childbirth and the puerperium","O10"
91,"Other complications of pregnancy, childbirth and the puerperium","O11"
91,"Other complications of pregnancy, childbirth and the puerperium","O12"
91,"Other complications of pregnancy, childbirth and the puerperium","O13"
91,"Other complications of pregnancy, childbirth and the puerperium","O14"
91,"Other complications of pregnancy, childbirth and the puerperium","O15"
91,"Other complications of pregnancy, childbirth and the puerperium","O16"
91,"Other complications of pregnancy, childbirth and the puerperium","O17"
91,"Other complications of pregnancy, childbirth and the puerperium","O18"
91,"Other complications of pregnancy, childbirth and the puerperium","O19"
91,"Other complications of pregnancy, childbirth and the puerperium","O20"
91,"Other complications of pregnancy, childbirth and the puerperium","O21"
91,"Other complications of pregnancy, childbirth and the puerperium","O22"
91,"Other complications of pregnancy, childbirth and the puerperium","O23"
91,"Other complications of pregnancy, childbirth and the puerperium","O24"
91,"Other complications of pregnancy, childbirth and the puerperium","O25"
91,"Other complications of pregnancy, childbirth and the puerperium","O26"
91,"Other complications of pregnancy, childbirth and the puerperium","O27"
91,"Other complications of pregnancy, childbirth and the puerperium","O28"
91,"Other complications of pregnancy, childbirth and the puerperium","O29"
91,"Other complications of pregnancy, childbirth and the puerperium","O30"
91,"Other complications of pregnancy, childbirth and the puerperium","O31"
91,"Other complications of pregnancy, childbirth and the puerperium","O32"
91,"Other complications of pregnancy, childbirth and the puerperium","O33"
91,"Other complications of pregnancy, childbirth and the puerperium","O34"
91,"Other complications of pregnancy, childbirth and the puerperium","O35"
91,"Other complications of pregnancy, childbirth and the puerperium","O36"
91,"Other complications of pregnancy, childbirth and the puerperium","O37"
91,"Other complications of pregnancy, childbirth and the puerperium","O38"
91,"Other complications of pregnancy, childbirth and the puerperium","O39"
91,"Other complications of pregnancy, childbirth and the puerperium","O40"
91,"Other complications of pregnancy, childbirth and the puerperium","O41"
91,"Other complications of pregnancy, childbirth and the puerperium","O42"
91,"Other complications of pregnancy, childbirth and the puerperium","O43"
91,"Other complications of pregnancy, childbirth and the puerperium","O44"
91,"Other complications of pregnancy, childbirth and the puerperium","O45"
91,"Other complications of pregnancy, childbirth and the puerperium","O46"
91,"Other complications of pregnancy, childbirth and the puerperium","O47"
91,"Other complications of pregnancy, childbirth and the puerperium","O48"
91,"Other complications of pregnancy, childbirth and the puerperium","O49"
91,"Other complications of pregnancy, childbirth and the puerperium","O50"
91,"Other complications of pregnancy, childbirth and the puerperium","O51"
91,"Other complications of pregnancy, childbirth and the puerperium","O52"
91,"Other complications of pregnancy, childbirth and the puerperium","O53"
91,"Other complications of pregnancy, childbirth and the puerperium","O54"
91,"Other complications of pregnancy, childbirth and the puerperium","O55"
91,"Other complications of pregnancy, childbirth and the puerperium","O56"
91,"Other complications of pregnancy, childbirth and the puerperium","O57"
91,"Other complications of pregnancy, childbirth and the puerperium","O58"
91,"Other complications of pregnancy, childbirth and the puerperium","O59"
91,"Other complications of pregnancy, childbirth and the puerperium","O60"
91,"Other complications of pregnancy, childbirth and the puerperium","O61"
91,"Other complications of pregnancy, childbirth and the puerperium","O62"
91,"Other complications of pregnancy, childbirth and the puerperium","O63"
91,"Other complications of pregnancy, childbirth and the puerperium","O64"
91,"Other complications of pregnancy, childbirth and the puerperium","O65"
91,"Other complications of pregnancy, childbirth and the puerperium","O66"
91,"Other complications of pregnancy, childbirth and the puerperium","O67"
91,"Other complications of pregnancy, childbirth and the puerperium","O68"
91,"Other complications of pregnancy, childbirth and the puerperium","O69"
91,"Other complications of pregnancy, childbirth and the puerperium","O70"
91,"Other complications of pregnancy, childbirth and the puerperium","O71"
91,"Other complications of pregnancy, childbirth and the puerperium","O72"
91,"Other complications of pregnancy, childbirth and the puerperium","O73"
91,"Other complications of pregnancy, childbirth and the puerperium","O74"
91,"Other complications of pregnancy, childbirth and the puerperium","O75"
91,"Other complications of pregnancy, childbirth and the puerperium","O76"
91,"Other complications of pregnancy, childbirth and the puerperium","O77"
91,"Other complications of pregnancy, childbirth and the puerperium","O78"
91,"Other complications of pregnancy, childbirth and the puerperium","O79"
91,"Other complications of pregnancy, childbirth and the puerperium","O80"
91,"Other complications of pregnancy, childbirth and the puerperium","O81"
91,"Other complications of pregnancy, childbirth and the puerperium","O82"
91,"Other complications of pregnancy, childbirth and the puerperium","O83"
91,"Other complications of pregnancy, childbirth and the puerperium","O84"
91,"Other complications of pregnancy, childbirth and the puerperium","O85"
91,"Other complications of pregnancy, childbirth and the puerperium","O86"
91,"Other complications of pregnancy, childbirth and the puerperium","O87"
91,"Other complications of pregnancy, childbirth and the puerperium","O88"
91,"Other complications of pregnancy, childbirth and the puerperium","O89"
91,"Other complications of pregnancy, childbirth and the puerperium","O90"
91,"Other complications of pregnancy, childbirth and the puerperium","O91"
91,"Other complications of pregnancy, childbirth and the puerperium","O92"
91,"Other complications of pregnancy, childbirth and the puerperium","O93"
91,"Other complications of pregnancy, childbirth and the puerperium","O94"
91,"Other complications of pregnancy, childbirth and the puerperium","O95"
91,"Other complications of pregnancy, childbirth and the puerperium","O96"
91,"Other complications of pregnancy, childbirth and the puerperium","O97"
91,"Other complications of pregnancy, childbirth and the puerperium","O98"
91,"Other complications of pregnancy, childbirth and the puerperium","O99"
92,"Certain conditions originating in the perinatal period","P00"
92,"Certain conditions originating in the perinatal period","P01"
92,"Certain conditions originating in the perinatal period","P02"
92,"Certain conditions originating in the perinatal period","P03"
92,"Certain conditions originating in the perinatal period","P04"
92,"Certain conditions originating in the perinatal period","P05"
92,"Certain conditions originating in the perinatal period","P06"
92,"Certain conditions originating in the perinatal period","P07"
92,"Certain conditions originating in the perinatal period","P08"
92,"Certain conditions originating in the perinatal period","P09"
92,"Certain conditions originating in the perinatal period","P10"
92,"Certain conditions originating in the perinatal period","P11"
92,"Certain conditions originating in the perinatal period","P12"
92,"Certain conditions originating in the perinatal period","P13"
92,"Certain conditions originating in the perinatal period","P14"
92,"Certain conditions originating in the perinatal period","P15"
92,"Certain conditions originating in the perinatal period","P16"
92,"Certain conditions originating in the perinatal period","P17"
92,"Certain conditions originating in the perinatal period","P18"
92,"Certain conditions originating in the perinatal period","P19"
92,"Certain conditions originating in the perinatal period","P20"
92,"Certain conditions originating in the perinatal period","P21"
92,"Certain conditions originating in the perinatal period","P22"
92,"Certain conditions originating in the perinatal period","P23"
92,"Certain conditions originating in the perinatal period","P24"
92,"Certain conditions originating in the perinatal period","P25"
92,"Certain conditions originating in the perinatal period","P26"
92,"Certain conditions originating in the perinatal period","P27"
92,"Certain conditions originating in the perinatal period","P28"
92,"Certain conditions originating in the perinatal period","P29"
92,"Certain conditions originating in the perinatal period","P30"
92,"Certain conditions originating in the perinatal period","P31"
92,"Certain conditions originating in the perinatal period","P32"
92,"Certain conditions originating in the perinatal period","P33"
92,"Certain conditions originating in the perinatal period","P34"
92,"Certain conditions originating in the perinatal period","P35"
92,"Certain conditions originating in the perinatal period","P36"
92,"Certain conditions originating in the perinatal period","P37"
92,"Certain conditions originating in the perinatal period","P38"
92,"Certain conditions originating in the perinatal period","P39"
92,"Certain conditions originating in the perinatal period","P40"
92,"Certain conditions originating in the perinatal period","P41"
92,"Certain conditions originating in the perinatal period","P42"
92,"Certain conditions originating in the perinatal period","P43"
92,"Certain conditions originating in the perinatal period","P44"
92,"Certain conditions originating in the perinatal period","P45"
92,"Certain conditions originating in the perinatal period","P46"
92,"Certain conditions originating in the perinatal period","P47"
92,"Certain conditions originating in the perinatal period","P48"
92,"Certain conditions originating in the perinatal period","P49"
92,"Certain conditions originating in the perinatal period","P50"
92,"Certain conditions originating in the perinatal period","P51"
92,"Certain conditions originating in the perinatal period","P52"
92,"Certain conditions originating in the perinatal period","P53"
92,"Certain conditions originating in the perinatal period","P54"
92,"Certain conditions originating in the perinatal period","P55"
92,"Certain conditions originating in the perinatal period","P56"
92,"Certain conditions originating in the perinatal period","P57"
92,"Certain conditions originating in the perinatal period","P58"
92,"Certain conditions originating in the perinatal period","P59"
92,"Certain conditions originating in the perinatal period","P60"
92,"Certain conditions originating in the perinatal period","P61"
92,"Certain conditions originating in the perinatal period","P62"
92,"Certain conditions originating in the perinatal period","P63"
92,"Certain conditions originating in the perinatal period","P64"
92,"Certain conditions originating in the perinatal period","P65"
92,"Certain conditions originating in the perinatal period","P66"
92,"Certain conditions originating in the perinatal period","P67"
92,"Certain conditions originating in the perinatal period","P68"
92,"Certain conditions originating in the perinatal period","P69"
92,"Certain conditions originating in the perinatal period","P70"
92,"Certain conditions originating in the perinatal period","P71"
92,"Certain conditions originating in the perinatal period","P72"
92,"Certain conditions originating in the perinatal period","P73"
92,"Certain conditions originating in the perinatal period","P74"
92,"Certain conditions originating in the perinatal period","P75"
92,"Certain conditions originating in the perinatal period","P76"
92,"Certain conditions originating in the perinatal period","P77"
92,"Certain conditions originating in the perinatal period","P78"
92,"Certain conditions originating in the perinatal period","P79"
92,"Certain conditions originating in the perinatal period","P80"
92,"Certain conditions originating in the perinatal period","P81"
92,"Certain conditions originating in the perinatal period","P82"
92,"Certain conditions originating in the perinatal period","P83"
92,"Certain conditions originating in the perinatal period","P84"
92,"Certain conditions originating in the perinatal period","P85"
92,"Certain conditions originating in the perinatal period","P86"
92,"Certain conditions originating in the perinatal period","P87"
92,"Certain conditions originating in the perinatal period","P88"
92,"Certain conditions originating in the perinatal period","P89"
92,"Certain conditions originating in the perinatal period","P90"
92,"Certain conditions originating in the perinatal period","P91"
92,"Certain conditions originating in the perinatal period","P92"
92,"Certain conditions originating in the perinatal period","P93"
92,"Certain conditions originating in the perinatal period","P94"
92,"Certain conditions originating in the perinatal period","P95"
92,"Certain conditions originating in the perinatal period","P96"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q00"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q01"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q02"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q03"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q04"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q05"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q06"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q07"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q08"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q09"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q10"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q11"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q12"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q13"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q14"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q15"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q16"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q17"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q18"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q19"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q20"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q21"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q22"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q23"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q24"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q25"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q26"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q27"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q28"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q29"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q30"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q31"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q32"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q33"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q34"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q35"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q36"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q37"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q38"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q39"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q40"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q41"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q42"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q43"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q44"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q45"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q46"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q47"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q48"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q49"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q50"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q51"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q52"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q53"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q54"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q55"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q56"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q57"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q58"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q59"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q60"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q61"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q62"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q63"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q64"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q65"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q66"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q67"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q68"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q69"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q70"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q71"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q72"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q73"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q74"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q75"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q76"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q77"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q78"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q79"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q80"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q81"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q82"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q83"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q84"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q85"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q86"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q87"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q88"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q89"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q90"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q91"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q92"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q93"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q94"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q95"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q96"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q97"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q98"
93,"Congenital malformations, deformations and chromosomal abnormalities","Q99"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R01"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R02"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R03"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R04"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R05"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R06"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R07"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R08"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R09"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R10"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R11"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R12"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R13"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R14"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R15"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R16"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R17"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R18"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R19"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R20"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R21"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R22"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R23"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R24"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R25"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R26"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R27"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R28"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R29"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R30"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R31"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R32"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R33"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R34"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R35"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R36"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R37"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R38"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R39"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R40"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R41"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R42"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R43"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R44"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R45"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R46"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R47"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R48"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R49"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R50"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R51"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R52"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R53"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R54"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R55"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R56"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R57"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R58"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R59"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R60"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R61"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R62"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R63"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R64"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R65"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R66"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R67"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R68"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R69"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R70"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R71"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R72"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R73"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R74"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R75"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R76"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R77"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R78"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R79"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R80"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R81"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R82"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R83"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R84"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R85"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R86"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R87"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R88"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R89"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R90"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R91"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R92"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R93"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R94"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R95"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R96"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R97"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R98"
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R99"
95,"All other diseases (Residual)","D65"
95,"All other diseases (Residual)","D66"
95,"All other diseases (Residual)","D67"
95,"All other diseases (Residual)","D68"
95,"All other diseases (Residual)","D69"
95,"All other diseases (Residual)","D70"
95,"All other diseases (Residual)","D71"
95,"All other diseases (Residual)","D72"
95,"All other diseases (Residual)","D73"
95,"All other diseases (Residual)","D74"
95,"All other diseases (Residual)","D75"
95,"All other diseases (Residual)","D76"
95,"All other diseases (Residual)","D77"
95,"All other diseases (Residual)","D78"
95,"All other diseases (Residual)","D79"
95,"All other diseases (Residual)","D80"
95,"All other diseases (Residual)","D81"
95,"All other diseases (Residual)","D82"
95,"All other diseases (Residual)","D83"
95,"All other diseases (Residual)","D84"
95,"All other diseases (Residual)","D85"
95,"All other diseases (Residual)","D86"
95,"All other diseases (Residual)","D87"
95,"All other diseases (Residual)","D88"
95,"All other diseases (Residual)","D89"
95,"All other diseases (Residual)","D90"
95,"All other diseases (Residual)","D91"
95,"All other diseases (Residual)","D92"
95,"All other diseases (Residual)","D93"
95,"All other diseases (Residual)","D94"
95,"All other diseases (Residual)","D95"
95,"All other diseases (Residual)","D96"
95,"All other diseases (Residual)","D97"
95,"All other diseases (Residual)","D98"
95,"All other diseases (Residual)","D99"
95,"All other diseases (Residual)","E00"
95,"All other diseases (Residual)","E01"
95,"All other diseases (Residual)","E02"
95,"All other diseases (Residual)","E03"
