"causeid","cause.of.death","icd10","orig.coding"
20,"All other and unspecified infectious and parasitic diseases","A223","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A224","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A225","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A226","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A227","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A228","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A229","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A230","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A231","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A232","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A233","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A234","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A235","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A236","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A237","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A238","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A239","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A240","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A241","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A242","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A243","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A244","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A245","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A246","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A247","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A248","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A249","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A250","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A251","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A252","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A253","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A254","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A255","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A256","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A257","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A258","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A259","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A260","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A261","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A262","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A263","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A264","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A265","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A266","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A267","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A268","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A269","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A270","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A271","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A272","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A273","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A274","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A275","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A276","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A277","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A278","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A279","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A280","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A281","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A282","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A283","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A284","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A285","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A286","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A287","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A288","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A289","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A290","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A291","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A292","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A293","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A294","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A295","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A296","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A297","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A298","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A299","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A300","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A301","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A302","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A303","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A304","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A305","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A306","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A307","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A308","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A309","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A310","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A311","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A312","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A313","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A314","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A315","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A316","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A317","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A318","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A319","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A320","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A321","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A322","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A323","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A324","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A325","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A326","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A327","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A328","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A329","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A380","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A381","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A382","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A383","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A384","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A385","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A386","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A387","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A388","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A389","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A420","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A421","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A422","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A423","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A424","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A425","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A426","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A427","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A428","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A429","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A430","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A431","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A432","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A433","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A434","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A435","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A436","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A437","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A438","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A439","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A440","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A441","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A442","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A443","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A444","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A445","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A446","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A447","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A448","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A449","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A450","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A451","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A452","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A453","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A454","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A455","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A456","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A457","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A458","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A459","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A460","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A461","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A462","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A463","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A464","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A465","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A466","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A467","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A468","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A469","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A470","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A471","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A472","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A473","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A474","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A475","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A476","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A477","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A478","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A479","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A480","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A481","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A482","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
20,"All other and unspecified infectious and parasitic diseases","A483","A20-A32,A38,A42-A49,A51-A53,A55-A79,B35-B36,B38-B49,B55-B58,B60-B99"
