"causeid","cause.of.death","icd10","uploaded"
91,"Other complications of pregnancy, childbirth and the puerperium","O65",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O66",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O67",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O68",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O69",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O70",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O71",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O72",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O73",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O74",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O75",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O76",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O77",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O78",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O79",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O80",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O81",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O82",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O83",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O84",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O85",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O86",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O87",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O88",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O89",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O90",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O91",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O92",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O93",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O94",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O95",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O96",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O97",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O98",2022-02-02
91,"Other complications of pregnancy, childbirth and the puerperium","O99",2022-02-02
92,"Certain conditions originating in the perinatal period","P00",2022-02-02
92,"Certain conditions originating in the perinatal period","P01",2022-02-02
92,"Certain conditions originating in the perinatal period","P02",2022-02-02
92,"Certain conditions originating in the perinatal period","P03",2022-02-02
92,"Certain conditions originating in the perinatal period","P04",2022-02-02
92,"Certain conditions originating in the perinatal period","P05",2022-02-02
92,"Certain conditions originating in the perinatal period","P06",2022-02-02
92,"Certain conditions originating in the perinatal period","P07",2022-02-02
92,"Certain conditions originating in the perinatal period","P08",2022-02-02
92,"Certain conditions originating in the perinatal period","P09",2022-02-02
92,"Certain conditions originating in the perinatal period","P10",2022-02-02
92,"Certain conditions originating in the perinatal period","P11",2022-02-02
92,"Certain conditions originating in the perinatal period","P12",2022-02-02
92,"Certain conditions originating in the perinatal period","P13",2022-02-02
92,"Certain conditions originating in the perinatal period","P14",2022-02-02
92,"Certain conditions originating in the perinatal period","P15",2022-02-02
92,"Certain conditions originating in the perinatal period","P16",2022-02-02
92,"Certain conditions originating in the perinatal period","P17",2022-02-02
92,"Certain conditions originating in the perinatal period","P18",2022-02-02
92,"Certain conditions originating in the perinatal period","P19",2022-02-02
92,"Certain conditions originating in the perinatal period","P20",2022-02-02
92,"Certain conditions originating in the perinatal period","P21",2022-02-02
92,"Certain conditions originating in the perinatal period","P22",2022-02-02
92,"Certain conditions originating in the perinatal period","P23",2022-02-02
92,"Certain conditions originating in the perinatal period","P24",2022-02-02
92,"Certain conditions originating in the perinatal period","P25",2022-02-02
92,"Certain conditions originating in the perinatal period","P26",2022-02-02
92,"Certain conditions originating in the perinatal period","P27",2022-02-02
92,"Certain conditions originating in the perinatal period","P28",2022-02-02
92,"Certain conditions originating in the perinatal period","P29",2022-02-02
92,"Certain conditions originating in the perinatal period","P30",2022-02-02
92,"Certain conditions originating in the perinatal period","P31",2022-02-02
92,"Certain conditions originating in the perinatal period","P32",2022-02-02
92,"Certain conditions originating in the perinatal period","P33",2022-02-02
92,"Certain conditions originating in the perinatal period","P34",2022-02-02
92,"Certain conditions originating in the perinatal period","P35",2022-02-02
92,"Certain conditions originating in the perinatal period","P36",2022-02-02
92,"Certain conditions originating in the perinatal period","P37",2022-02-02
92,"Certain conditions originating in the perinatal period","P38",2022-02-02
92,"Certain conditions originating in the perinatal period","P39",2022-02-02
92,"Certain conditions originating in the perinatal period","P40",2022-02-02
92,"Certain conditions originating in the perinatal period","P41",2022-02-02
92,"Certain conditions originating in the perinatal period","P42",2022-02-02
92,"Certain conditions originating in the perinatal period","P43",2022-02-02
92,"Certain conditions originating in the perinatal period","P44",2022-02-02
92,"Certain conditions originating in the perinatal period","P45",2022-02-02
92,"Certain conditions originating in the perinatal period","P46",2022-02-02
92,"Certain conditions originating in the perinatal period","P47",2022-02-02
92,"Certain conditions originating in the perinatal period","P48",2022-02-02
92,"Certain conditions originating in the perinatal period","P49",2022-02-02
92,"Certain conditions originating in the perinatal period","P50",2022-02-02
92,"Certain conditions originating in the perinatal period","P51",2022-02-02
92,"Certain conditions originating in the perinatal period","P52",2022-02-02
92,"Certain conditions originating in the perinatal period","P53",2022-02-02
92,"Certain conditions originating in the perinatal period","P54",2022-02-02
92,"Certain conditions originating in the perinatal period","P55",2022-02-02
92,"Certain conditions originating in the perinatal period","P56",2022-02-02
92,"Certain conditions originating in the perinatal period","P57",2022-02-02
92,"Certain conditions originating in the perinatal period","P58",2022-02-02
92,"Certain conditions originating in the perinatal period","P59",2022-02-02
92,"Certain conditions originating in the perinatal period","P60",2022-02-02
92,"Certain conditions originating in the perinatal period","P61",2022-02-02
92,"Certain conditions originating in the perinatal period","P62",2022-02-02
92,"Certain conditions originating in the perinatal period","P63",2022-02-02
92,"Certain conditions originating in the perinatal period","P64",2022-02-02
92,"Certain conditions originating in the perinatal period","P65",2022-02-02
92,"Certain conditions originating in the perinatal period","P66",2022-02-02
92,"Certain conditions originating in the perinatal period","P67",2022-02-02
92,"Certain conditions originating in the perinatal period","P68",2022-02-02
92,"Certain conditions originating in the perinatal period","P69",2022-02-02
92,"Certain conditions originating in the perinatal period","P70",2022-02-02
92,"Certain conditions originating in the perinatal period","P71",2022-02-02
92,"Certain conditions originating in the perinatal period","P72",2022-02-02
92,"Certain conditions originating in the perinatal period","P73",2022-02-02
92,"Certain conditions originating in the perinatal period","P74",2022-02-02
92,"Certain conditions originating in the perinatal period","P75",2022-02-02
92,"Certain conditions originating in the perinatal period","P76",2022-02-02
92,"Certain conditions originating in the perinatal period","P77",2022-02-02
92,"Certain conditions originating in the perinatal period","P78",2022-02-02
92,"Certain conditions originating in the perinatal period","P79",2022-02-02
92,"Certain conditions originating in the perinatal period","P80",2022-02-02
92,"Certain conditions originating in the perinatal period","P81",2022-02-02
92,"Certain conditions originating in the perinatal period","P82",2022-02-02
92,"Certain conditions originating in the perinatal period","P83",2022-02-02
92,"Certain conditions originating in the perinatal period","P84",2022-02-02
92,"Certain conditions originating in the perinatal period","P85",2022-02-02
92,"Certain conditions originating in the perinatal period","P86",2022-02-02
92,"Certain conditions originating in the perinatal period","P87",2022-02-02
92,"Certain conditions originating in the perinatal period","P88",2022-02-02
92,"Certain conditions originating in the perinatal period","P89",2022-02-02
92,"Certain conditions originating in the perinatal period","P90",2022-02-02
92,"Certain conditions originating in the perinatal period","P91",2022-02-02
92,"Certain conditions originating in the perinatal period","P92",2022-02-02
92,"Certain conditions originating in the perinatal period","P93",2022-02-02
92,"Certain conditions originating in the perinatal period","P94",2022-02-02
92,"Certain conditions originating in the perinatal period","P95",2022-02-02
92,"Certain conditions originating in the perinatal period","P96",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q00",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q01",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q02",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q03",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q04",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q05",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q06",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q07",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q08",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q09",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q10",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q11",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q12",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q13",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q14",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q15",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q16",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q17",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q18",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q19",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q20",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q21",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q22",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q23",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q24",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q25",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q26",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q27",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q28",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q29",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q30",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q31",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q32",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q33",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q34",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q35",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q36",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q37",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q38",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q39",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q40",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q41",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q42",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q43",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q44",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q45",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q46",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q47",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q48",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q49",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q50",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q51",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q52",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q53",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q54",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q55",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q56",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q57",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q58",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q59",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q60",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q61",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q62",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q63",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q64",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q65",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q66",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q67",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q68",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q69",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q70",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q71",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q72",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q73",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q74",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q75",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q76",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q77",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q78",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q79",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q80",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q81",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q82",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q83",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q84",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q85",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q86",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q87",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q88",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q89",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q90",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q91",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q92",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q93",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q94",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q95",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q96",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q97",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q98",2022-02-02
93,"Congenital malformations, deformations and chromosomal abnormalities","Q99",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R01",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R02",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R03",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R04",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R05",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R06",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R07",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R08",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R09",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R10",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R11",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R12",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R13",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R14",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R15",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R16",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R17",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R18",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R19",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R20",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R21",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R22",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R23",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R24",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R25",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R26",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R27",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R28",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R29",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R30",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R31",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R32",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R33",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R34",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R35",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R36",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R37",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R38",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R39",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R40",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R41",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R42",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R43",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R44",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R45",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R46",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R47",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R48",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R49",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R50",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R51",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R52",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R53",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R54",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R55",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R56",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R57",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R58",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R59",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R60",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R61",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R62",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R63",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R64",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R65",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R66",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R67",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R68",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R69",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R70",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R71",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R72",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R73",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R74",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R75",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R76",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R77",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R78",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R79",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R80",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R81",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R82",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R83",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R84",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R85",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R86",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R87",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R88",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R89",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R90",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R91",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R92",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R93",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R94",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R95",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R96",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R97",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R98",2022-02-02
94,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R99",2022-02-02
95,"All other diseases (Residual)","D65",2022-02-02
95,"All other diseases (Residual)","D66",2022-02-02
95,"All other diseases (Residual)","D67",2022-02-02
95,"All other diseases (Residual)","D68",2022-02-02
95,"All other diseases (Residual)","D69",2022-02-02
95,"All other diseases (Residual)","D70",2022-02-02
95,"All other diseases (Residual)","D71",2022-02-02
95,"All other diseases (Residual)","D72",2022-02-02
95,"All other diseases (Residual)","D73",2022-02-02
95,"All other diseases (Residual)","D74",2022-02-02
95,"All other diseases (Residual)","D75",2022-02-02
95,"All other diseases (Residual)","D76",2022-02-02
95,"All other diseases (Residual)","D77",2022-02-02
95,"All other diseases (Residual)","D78",2022-02-02
95,"All other diseases (Residual)","D79",2022-02-02
95,"All other diseases (Residual)","D80",2022-02-02
95,"All other diseases (Residual)","D81",2022-02-02
95,"All other diseases (Residual)","D82",2022-02-02
95,"All other diseases (Residual)","D83",2022-02-02
95,"All other diseases (Residual)","D84",2022-02-02
95,"All other diseases (Residual)","D85",2022-02-02
95,"All other diseases (Residual)","D86",2022-02-02
95,"All other diseases (Residual)","D87",2022-02-02
95,"All other diseases (Residual)","D88",2022-02-02
95,"All other diseases (Residual)","D89",2022-02-02
95,"All other diseases (Residual)","D90",2022-02-02
95,"All other diseases (Residual)","D91",2022-02-02
95,"All other diseases (Residual)","D92",2022-02-02
95,"All other diseases (Residual)","D93",2022-02-02
95,"All other diseases (Residual)","D94",2022-02-02
95,"All other diseases (Residual)","D95",2022-02-02
95,"All other diseases (Residual)","D96",2022-02-02
95,"All other diseases (Residual)","D97",2022-02-02
95,"All other diseases (Residual)","D98",2022-02-02
95,"All other diseases (Residual)","D99",2022-02-02
95,"All other diseases (Residual)","E00",2022-02-02
95,"All other diseases (Residual)","E01",2022-02-02
95,"All other diseases (Residual)","E02",2022-02-02
95,"All other diseases (Residual)","E03",2022-02-02
95,"All other diseases (Residual)","E04",2022-02-02
95,"All other diseases (Residual)","E05",2022-02-02
95,"All other diseases (Residual)","E06",2022-02-02
95,"All other diseases (Residual)","E07",2022-02-02
95,"All other diseases (Residual)","E08",2022-02-02
95,"All other diseases (Residual)","E09",2022-02-02
95,"All other diseases (Residual)","E15",2022-02-02
95,"All other diseases (Residual)","E16",2022-02-02
95,"All other diseases (Residual)","E17",2022-02-02
95,"All other diseases (Residual)","E18",2022-02-02
95,"All other diseases (Residual)","E19",2022-02-02
95,"All other diseases (Residual)","E20",2022-02-02
95,"All other diseases (Residual)","E21",2022-02-02
95,"All other diseases (Residual)","E22",2022-02-02
95,"All other diseases (Residual)","E23",2022-02-02
95,"All other diseases (Residual)","E24",2022-02-02
95,"All other diseases (Residual)","E25",2022-02-02
95,"All other diseases (Residual)","E26",2022-02-02
95,"All other diseases (Residual)","E27",2022-02-02
95,"All other diseases (Residual)","E28",2022-02-02
95,"All other diseases (Residual)","E29",2022-02-02
95,"All other diseases (Residual)","E30",2022-02-02
95,"All other diseases (Residual)","E31",2022-02-02
95,"All other diseases (Residual)","E32",2022-02-02
95,"All other diseases (Residual)","E33",2022-02-02
95,"All other diseases (Residual)","E34",2022-02-02
95,"All other diseases (Residual)","E35",2022-02-02
95,"All other diseases (Residual)","E36",2022-02-02
95,"All other diseases (Residual)","E37",2022-02-02
