"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","notes","uploaded"
"Broad","19-3030","19-0000","19-3000","19-3030",NA,"Psychologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists",NA,NA,2022-02-02
"Detailed","19-3031","19-0000","19-3000","19-3030","19-3031","Clinical, Counseling, and School Psychologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Clinical, Counseling, and School Psychologists",NA,2022-02-02
"Detailed","19-3032","19-0000","19-3000","19-3030","19-3032","Industrial-Organizational Psychologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Industrial-Organizational Psychologists",NA,2022-02-02
"Detailed","19-3039","19-0000","19-3000","19-3030","19-3039","Psychologists, All Other","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Psychologists","Psychologists, All Other",NA,2022-02-02
"Broad","19-3040","19-0000","19-3000","19-3040",NA,"Sociologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Sociologists",NA,NA,2022-02-02
"Detailed","19-3041","19-0000","19-3000","19-3040","19-3041","Sociologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Sociologists","Sociologists",NA,2022-02-02
"Broad","19-3050","19-0000","19-3000","19-3050",NA,"Urban and Regional Planners","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Urban and Regional Planners",NA,NA,2022-02-02
"Detailed","19-3051","19-0000","19-3000","19-3050","19-3051","Urban and Regional Planners","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Urban and Regional Planners","Urban and Regional Planners",NA,2022-02-02
"Broad","19-3090","19-0000","19-3000","19-3090",NA,"Miscellaneous Social Scientists and Related Workers","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers",NA,NA,2022-02-02
"Detailed","19-3091","19-0000","19-3000","19-3090","19-3091","Anthropologists and Archeologists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Anthropologists and Archeologists",NA,2022-02-02
"Detailed","19-3092","19-0000","19-3000","19-3090","19-3092","Geographers","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Geographers",NA,2022-02-02
"Detailed","19-3093","19-0000","19-3000","19-3090","19-3093","Historians","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Historians",NA,2022-02-02
"Detailed","19-3094","19-0000","19-3000","19-3090","19-3094","Political Scientists","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Political Scientists",NA,2022-02-02
"Detailed","19-3099","19-0000","19-3000","19-3090","19-3099","Social Scientists and Related Workers, All Other","Life, Physical, and Social Science Occupations","Social Scientists and Related Workers","Miscellaneous Social Scientists and Related Workers","Social Scientists and Related Workers, All Other",NA,2022-02-02
"Minor","19-4000","19-0000","19-4000",NA,NA,"Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",NA,NA,NA,2022-02-02
"Broad","19-4010","19-0000","19-4000","19-4010",NA,"Agricultural and Food Science Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Agricultural and Food Science Technicians",NA,NA,2022-02-02
"Detailed","19-4011","19-0000","19-4000","19-4010","19-4011","Agricultural and Food Science Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Agricultural and Food Science Technicians","Agricultural and Food Science Technicians",NA,2022-02-02
"Broad","19-4020","19-0000","19-4000","19-4020",NA,"Biological Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Biological Technicians",NA,NA,2022-02-02
"Detailed","19-4021","19-0000","19-4000","19-4020","19-4021","Biological Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Biological Technicians","Biological Technicians",NA,2022-02-02
"Broad","19-4030","19-0000","19-4000","19-4030",NA,"Chemical Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Chemical Technicians",NA,NA,2022-02-02
"Detailed","19-4031","19-0000","19-4000","19-4030","19-4031","Chemical Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Chemical Technicians","Chemical Technicians",NA,2022-02-02
"Broad","19-4040","19-0000","19-4000","19-4040",NA,"Geological and Petroleum Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Geological and Petroleum Technicians",NA,NA,2022-02-02
"Detailed","19-4041","19-0000","19-4000","19-4040","19-4041","Geological and Petroleum Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Geological and Petroleum Technicians","Geological and Petroleum Technicians",NA,2022-02-02
"Broad","19-4050","19-0000","19-4000","19-4050",NA,"Nuclear Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Nuclear Technicians",NA,NA,2022-02-02
"Detailed","19-4051","19-0000","19-4000","19-4050","19-4051","Nuclear Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Nuclear Technicians","Nuclear Technicians",NA,2022-02-02
"Broad","19-4060","19-0000","19-4000","19-4060",NA,"Social Science Research Assistants","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Social Science Research Assistants",NA,NA,2022-02-02
"Detailed","19-4061","19-0000","19-4000","19-4060","19-4061","Social Science Research Assistants","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Social Science Research Assistants","Social Science Research Assistants",NA,2022-02-02
"Broad","19-4090","19-0000","19-4000","19-4090",NA,"Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians",NA,NA,2022-02-02
"Detailed","19-4091","19-0000","19-4000","19-4090","19-4091","Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Environmental Science and Protection Technicians, Including Health",NA,2022-02-02
"Detailed","19-4092","19-0000","19-4000","19-4090","19-4092","Forensic Science Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Forensic Science Technicians",NA,2022-02-02
"Detailed","19-4093","19-0000","19-4000","19-4090","19-4093","Forest and Conservation Technicians","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Forest and Conservation Technicians",NA,2022-02-02
"Detailed","19-4099","19-0000","19-4000","19-4090","19-4099","Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Technicians, All Other",NA,2022-02-02
"Major","21-0000","21-0000",NA,NA,NA,"Community and Social Service Occupations","Community and Social Service Occupations",NA,NA,NA,NA,2022-02-02
"Minor","21-1000","21-0000","21-1000",NA,NA,"Counselors, Social Workers, and Other Community and Social Service Specialists","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists",NA,NA,NA,2022-02-02
"Broad","21-1010","21-0000","21-1000","21-1010",NA,"Counselors","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors",NA,NA,2022-02-02
"Detailed","21-1011","21-0000","21-1000","21-1010","21-1011","Substance Abuse and Behavioral Disorder Counselors","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Substance Abuse and Behavioral Disorder Counselors",NA,2022-02-02
"Detailed","21-1012","21-0000","21-1000","21-1010","21-1012","Educational, Guidance, School, and Vocational Counselors","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Educational, Guidance, School, and Vocational Counselors",NA,2022-02-02
"Detailed","21-1013","21-0000","21-1000","21-1010","21-1013","Marriage and Family Therapists","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Marriage and Family Therapists",NA,2022-02-02
"Detailed","21-1014","21-0000","21-1000","21-1010","21-1014","Mental Health Counselors","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Mental Health Counselors",NA,2022-02-02
"Detailed","21-1015","21-0000","21-1000","21-1010","21-1015","Rehabilitation Counselors","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Rehabilitation Counselors",NA,2022-02-02
"Detailed","21-1019","21-0000","21-1000","21-1010","21-1019","Counselors, All Other","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Counselors","Counselors, All Other",NA,2022-02-02
"Broad","21-1020","21-0000","21-1000","21-1020",NA,"Social Workers","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Social Workers",NA,NA,2022-02-02
"Detailed","21-1021","21-0000","21-1000","21-1020","21-1021","Child, Family, and School Social Workers","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Social Workers","Child, Family, and School Social Workers",NA,2022-02-02
"Detailed","21-1022","21-0000","21-1000","21-1020","21-1022","Healthcare Social Workers","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Social Workers","Healthcare Social Workers",NA,2022-02-02
"Detailed","21-1023","21-0000","21-1000","21-1020","21-1023","Mental Health and Substance Abuse Social Workers","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Social Workers","Mental Health and Substance Abuse Social Workers",NA,2022-02-02
"Detailed","21-1029","21-0000","21-1000","21-1020","21-1029","Social Workers, All Other","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Social Workers","Social Workers, All Other",NA,2022-02-02
"Broad","21-1090","21-0000","21-1000","21-1090",NA,"Miscellaneous Community and Social Service Specialists","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists",NA,NA,2022-02-02
"Detailed","21-1091","21-0000","21-1000","21-1090","21-1091","Health Educators","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","Health Educators",NA,2022-02-02
"Detailed","21-1092","21-0000","21-1000","21-1090","21-1092","Probation Officers and Correctional Treatment Specialists","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","Probation Officers and Correctional Treatment Specialists",NA,2022-02-02
"Detailed","21-1093","21-0000","21-1000","21-1090","21-1093","Social and Human Service Assistants","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","Social and Human Service Assistants",NA,2022-02-02
"Detailed","21-1094","21-0000","21-1000","21-1090","21-1094","Community Health Workers","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","Community Health Workers",NA,2022-02-02
"Detailed","21-1099","21-0000","21-1000","21-1090","21-1099","Community and Social Service Specialists, All Other","Community and Social Service Occupations","Counselors, Social Workers, and Other Community and Social Service Specialists","Miscellaneous Community and Social Service Specialists","Community and Social Service Specialists, All Other",NA,2022-02-02
"Minor","21-2000","21-0000","21-2000",NA,NA,"Religious Workers","Community and Social Service Occupations","Religious Workers",NA,NA,NA,2022-02-02
"Broad","21-2010","21-0000","21-2000","21-2010",NA,"Clergy","Community and Social Service Occupations","Religious Workers","Clergy",NA,NA,2022-02-02
"Detailed","21-2011","21-0000","21-2000","21-2010","21-2011","Clergy","Community and Social Service Occupations","Religious Workers","Clergy","Clergy",NA,2022-02-02
"Broad","21-2020","21-0000","21-2000","21-2020",NA,"Directors, Religious Activities and Education","Community and Social Service Occupations","Religious Workers","Directors, Religious Activities and Education",NA,NA,2022-02-02
"Detailed","21-2021","21-0000","21-2000","21-2020","21-2021","Directors, Religious Activities and Education","Community and Social Service Occupations","Religious Workers","Directors, Religious Activities and Education","Directors, Religious Activities and Education",NA,2022-02-02
"Broad","21-2090","21-0000","21-2000","21-2090",NA,"Miscellaneous Religious Workers","Community and Social Service Occupations","Religious Workers","Miscellaneous Religious Workers",NA,NA,2022-02-02
"Detailed","21-2099","21-0000","21-2000","21-2090","21-2099","Religious Workers, All Other","Community and Social Service Occupations","Religious Workers","Miscellaneous Religious Workers","Religious Workers, All Other",NA,2022-02-02
"Major","23-0000","23-0000",NA,NA,NA,"Legal Occupations","Legal Occupations",NA,NA,NA,NA,2022-02-02
"Minor","23-1000","23-0000","23-1000",NA,NA,"Lawyers, Judges, and Related Workers","Legal Occupations","Lawyers, Judges, and Related Workers",NA,NA,NA,2022-02-02
"Broad","23-1010","23-0000","23-1000","23-1010",NA,"Lawyers and Judicial Law Clerks","Legal Occupations","Lawyers, Judges, and Related Workers","Lawyers and Judicial Law Clerks",NA,NA,2022-02-02
"Detailed","23-1011","23-0000","23-1000","23-1010","23-1011","Lawyers","Legal Occupations","Lawyers, Judges, and Related Workers","Lawyers and Judicial Law Clerks","Lawyers",NA,2022-02-02
"Detailed","23-1012","23-0000","23-1000","23-1010","23-1012","Judicial Law Clerks","Legal Occupations","Lawyers, Judges, and Related Workers","Lawyers and Judicial Law Clerks","Judicial Law Clerks",NA,2022-02-02
"Broad","23-1020","23-0000","23-1000","23-1020",NA,"Judges, Magistrates, and Other Judicial Workers","Legal Occupations","Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers",NA,NA,2022-02-02
"Detailed","23-1021","23-0000","23-1000","23-1020","23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers","Legal Occupations","Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Administrative Law Judges, Adjudicators, and Hearing Officers",NA,2022-02-02
"Detailed","23-1022","23-0000","23-1000","23-1020","23-1022","Arbitrators, Mediators, and Conciliators","Legal Occupations","Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Arbitrators, Mediators, and Conciliators",NA,2022-02-02
"Detailed","23-1023","23-0000","23-1000","23-1020","23-1023","Judges, Magistrate Judges, and Magistrates","Legal Occupations","Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers","Judges, Magistrate Judges, and Magistrates",NA,2022-02-02
"Minor","23-2000","23-0000","23-2000",NA,NA,"Legal Support Workers","Legal Occupations","Legal Support Workers",NA,NA,NA,2022-02-02
"Broad","23-2010","23-0000","23-2000","23-2010",NA,"Paralegals and Legal Assistants","Legal Occupations","Legal Support Workers","Paralegals and Legal Assistants",NA,NA,2022-02-02
"Detailed","23-2011","23-0000","23-2000","23-2010","23-2011","Paralegals and Legal Assistants","Legal Occupations","Legal Support Workers","Paralegals and Legal Assistants","Paralegals and Legal Assistants",NA,2022-02-02
"Broad","23-2090","23-0000","23-2000","23-2090",NA,"Miscellaneous Legal Support Workers","Legal Occupations","Legal Support Workers","Miscellaneous Legal Support Workers",NA,NA,2022-02-02
"Detailed","23-2091","23-0000","23-2000","23-2090","23-2091","Court Reporters","Legal Occupations","Legal Support Workers","Miscellaneous Legal Support Workers","Court Reporters",NA,2022-02-02
"Detailed","23-2093","23-0000","23-2000","23-2090","23-2093","Title Examiners, Abstractors, and Searchers","Legal Occupations","Legal Support Workers","Miscellaneous Legal Support Workers","Title Examiners, Abstractors, and Searchers",NA,2022-02-02
"Detailed","23-2099","23-0000","23-2000","23-2090","23-2099","Legal Support Workers, All Other","Legal Occupations","Legal Support Workers","Miscellaneous Legal Support Workers","Legal Support Workers, All Other",NA,2022-02-02
"Major","25-0000","25-0000",NA,NA,NA,"Education, Training, and Library Occupations","Education, Training, and Library Occupations",NA,NA,NA,NA,2022-02-02
"Minor","25-1000","25-0000","25-1000",NA,NA,"Postsecondary Teachers","Education, Training, and Library Occupations","Postsecondary Teachers",NA,NA,NA,2022-02-02
"Broad","25-1010","25-0000","25-1000","25-1010",NA,"Business Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Business Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1011","25-0000","25-1000","25-1010","25-1011","Business Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Business Teachers, Postsecondary","Business Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1020","25-0000","25-1000","25-1020",NA,"Math and Computer Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Math and Computer Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1021","25-0000","25-1000","25-1020","25-1021","Computer Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Math and Computer Teachers, Postsecondary","Computer Science Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1022","25-0000","25-1000","25-1020","25-1022","Mathematical Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Math and Computer Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1030","25-0000","25-1000","25-1030",NA,"Engineering and Architecture Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1031","25-0000","25-1000","25-1030","25-1031","Architecture Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1032","25-0000","25-1000","25-1030","25-1032","Engineering Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary","Engineering Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1040","25-0000","25-1000","25-1040",NA,"Life Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1041","25-0000","25-1000","25-1040","25-1041","Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1042","25-0000","25-1000","25-1040","25-1042","Biological Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Biological Science Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1043","25-0000","25-1000","25-1040","25-1043","Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1050","25-0000","25-1000","25-1050",NA,"Physical Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1051","25-0000","25-1000","25-1050","25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1052","25-0000","25-1000","25-1050","25-1052","Chemistry Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Chemistry Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1053","25-0000","25-1000","25-1050","25-1053","Environmental Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1054","25-0000","25-1000","25-1050","25-1054","Physics Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Physics Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1060","25-0000","25-1000","25-1060",NA,"Social Sciences Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1061","25-0000","25-1000","25-1060","25-1061","Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1062","25-0000","25-1000","25-1060","25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1063","25-0000","25-1000","25-1060","25-1063","Economics Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Economics Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1064","25-0000","25-1000","25-1060","25-1064","Geography Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Geography Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1065","25-0000","25-1000","25-1060","25-1065","Political Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Political Science Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1066","25-0000","25-1000","25-1060","25-1066","Psychology Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Psychology Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1067","25-0000","25-1000","25-1060","25-1067","Sociology Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Sociology Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1069","25-0000","25-1000","25-1060","25-1069","Social Sciences Teachers, Postsecondary, All Other","Education, Training, and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Social Sciences Teachers, Postsecondary, All Other",NA,2022-02-02
"Broad","25-1070","25-0000","25-1000","25-1070",NA,"Health Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1071","25-0000","25-1000","25-1070","25-1071","Health Specialties Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1072","25-0000","25-1000","25-1070","25-1072","Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1080","25-0000","25-1000","25-1080",NA,"Education and Library Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1081","25-0000","25-1000","25-1080","25-1081","Education Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Education Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1082","25-0000","25-1000","25-1080","25-1082","Library Science Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1110","25-0000","25-1000","25-1110",NA,"Law, Criminal Justice, and Social Work Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1111","25-0000","25-1000","25-1110","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1112","25-0000","25-1000","25-1110","25-1112","Law Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Law Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1113","25-0000","25-1000","25-1110","25-1113","Social Work Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1120","25-0000","25-1000","25-1120",NA,"Arts, Communications, and Humanities Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary",NA,NA,2022-02-02
"Detailed","25-1121","25-0000","25-1000","25-1120","25-1121","Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1122","25-0000","25-1000","25-1120","25-1122","Communications Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","Communications Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1123","25-0000","25-1000","25-1120","25-1123","English Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1124","25-0000","25-1000","25-1120","25-1124","Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1125","25-0000","25-1000","25-1120","25-1125","History Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","History Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1126","25-0000","25-1000","25-1120","25-1126","Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Arts, Communications, and Humanities Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",NA,2022-02-02
"Broad","25-1190","25-0000","25-1000","25-1190",NA,"Miscellaneous Postsecondary Teachers","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers",NA,NA,2022-02-02
"Detailed","25-1191","25-0000","25-1000","25-1190","25-1191","Graduate Teaching Assistants","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Graduate Teaching Assistants",NA,2022-02-02
"Detailed","25-1192","25-0000","25-1000","25-1190","25-1192","Home Economics Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Home Economics Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1193","25-0000","25-1000","25-1190","25-1193","Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Recreation and Fitness Studies Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1194","25-0000","25-1000","25-1190","25-1194","Vocational Education Teachers, Postsecondary","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Vocational Education Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1199","25-0000","25-1000","25-1190","25-1199","Postsecondary Teachers, All Other","Education, Training, and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Postsecondary Teachers, All Other",NA,2022-02-02
"Minor","25-2000","25-0000","25-2000",NA,NA,"Preschool, Primary, Secondary, and Special Education School Teachers","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",NA,NA,NA,2022-02-02
