"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","uploaded"
"Broad","25-1030","25-0000","25-1000","25-1030",NA,"Engineering and Architecture Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1031","25-0000","25-1000","25-1030","25-1031","Architecture Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",2022-02-02
"Detailed","25-1032","25-0000","25-1000","25-1030","25-1032","Engineering Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Engineering and Architecture Teachers, Postsecondary","Engineering Teachers, Postsecondary",2022-02-02
"Broad","25-1040","25-0000","25-1000","25-1040",NA,"Life Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1041","25-0000","25-1000","25-1040","25-1041","Agricultural Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",2022-02-02
"Detailed","25-1042","25-0000","25-1000","25-1040","25-1042","Biological Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Biological Science Teachers, Postsecondary",2022-02-02
"Detailed","25-1043","25-0000","25-1000","25-1040","25-1043","Forestry and Conservation Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Life Sciences Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",2022-02-02
"Broad","25-1050","25-0000","25-1000","25-1050",NA,"Physical Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1051","25-0000","25-1000","25-1050","25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2022-02-02
"Detailed","25-1052","25-0000","25-1000","25-1050","25-1052","Chemistry Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Chemistry Teachers, Postsecondary",2022-02-02
"Detailed","25-1053","25-0000","25-1000","25-1050","25-1053","Environmental Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",2022-02-02
"Detailed","25-1054","25-0000","25-1000","25-1050","25-1054","Physics Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Physical Sciences Teachers, Postsecondary","Physics Teachers, Postsecondary",2022-02-02
"Broad","25-1060","25-0000","25-1000","25-1060",NA,"Social Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1061","25-0000","25-1000","25-1060","25-1061","Anthropology and Archeology Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",2022-02-02
"Detailed","25-1062","25-0000","25-1000","25-1060","25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2022-02-02
"Detailed","25-1063","25-0000","25-1000","25-1060","25-1063","Economics Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Economics Teachers, Postsecondary",2022-02-02
"Detailed","25-1064","25-0000","25-1000","25-1060","25-1064","Geography Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Geography Teachers, Postsecondary",2022-02-02
"Detailed","25-1065","25-0000","25-1000","25-1060","25-1065","Political Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Political Science Teachers, Postsecondary",2022-02-02
"Detailed","25-1066","25-0000","25-1000","25-1060","25-1066","Psychology Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Psychology Teachers, Postsecondary",2022-02-02
"Detailed","25-1067","25-0000","25-1000","25-1060","25-1067","Sociology Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Sociology Teachers, Postsecondary",2022-02-02
"Detailed","25-1069","25-0000","25-1000","25-1060","25-1069","Social Sciences Teachers, Postsecondary, All Other","Educational Instruction and Library Occupations","Postsecondary Teachers","Social Sciences Teachers, Postsecondary","Social Sciences Teachers, Postsecondary, All Other",2022-02-02
"Broad","25-1070","25-0000","25-1000","25-1070",NA,"Health Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1071","25-0000","25-1000","25-1070","25-1071","Health Specialties Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",2022-02-02
"Detailed","25-1072","25-0000","25-1000","25-1070","25-1072","Nursing Instructors and Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",2022-02-02
"Broad","25-1080","25-0000","25-1000","25-1080",NA,"Education and Library Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1081","25-0000","25-1000","25-1080","25-1081","Education Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Education Teachers, Postsecondary",2022-02-02
"Detailed","25-1082","25-0000","25-1000","25-1080","25-1082","Library Science Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",2022-02-02
"Broad","25-1110","25-0000","25-1000","25-1110",NA,"Law, Criminal Justice, and Social Work Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1111","25-0000","25-1000","25-1110","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",2022-02-02
"Detailed","25-1112","25-0000","25-1000","25-1110","25-1112","Law Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Law Teachers, Postsecondary",2022-02-02
"Detailed","25-1113","25-0000","25-1000","25-1110","25-1113","Social Work Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Law, Criminal Justice, and Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",2022-02-02
"Broad","25-1120","25-0000","25-1000","25-1120",NA,"Arts, Communications, History, and Humanities Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary",NA,2022-02-02
"Detailed","25-1121","25-0000","25-1000","25-1120","25-1121","Art, Drama, and Music Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",2022-02-02
"Detailed","25-1122","25-0000","25-1000","25-1120","25-1122","Communications Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","Communications Teachers, Postsecondary",2022-02-02
"Detailed","25-1123","25-0000","25-1000","25-1120","25-1123","English Language and Literature Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",2022-02-02
"Detailed","25-1124","25-0000","25-1000","25-1120","25-1124","Foreign Language and Literature Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",2022-02-02
"Detailed","25-1125","25-0000","25-1000","25-1120","25-1125","History Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","History Teachers, Postsecondary",2022-02-02
"Detailed","25-1126","25-0000","25-1000","25-1120","25-1126","Philosophy and Religion Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Arts, Communications, History, and Humanities Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",2022-02-02
"Broad","25-1190","25-0000","25-1000","25-1190",NA,"Miscellaneous Postsecondary Teachers","Educational Instruction and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers",NA,2022-02-02
"Detailed","25-1192","25-0000","25-1000","25-1190","25-1192","Family and Consumer Sciences Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Family and Consumer Sciences Teachers, Postsecondary",2022-02-02
"Detailed","25-1193","25-0000","25-1000","25-1190","25-1193","Recreation and Fitness Studies Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Recreation and Fitness Studies Teachers, Postsecondary",2022-02-02
"Detailed","25-1194","25-0000","25-1000","25-1190","25-1194","Career/Technical Education Teachers, Postsecondary","Educational Instruction and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Career/Technical Education Teachers, Postsecondary",2022-02-02
"Detailed","25-1199","25-0000","25-1000","25-1190","25-1199","Postsecondary Teachers, All Other","Educational Instruction and Library Occupations","Postsecondary Teachers","Miscellaneous Postsecondary Teachers","Postsecondary Teachers, All Other",2022-02-02
"Minor","25-2000","25-0000","25-2000",NA,NA,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers",NA,NA,2022-02-02
"Broad","25-2010","25-0000","25-2000","25-2010",NA,"Preschool and Kindergarten Teachers","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Preschool and Kindergarten Teachers",NA,2022-02-02
"Detailed","25-2011","25-0000","25-2000","25-2010","25-2011","Preschool Teachers, Except Special Education","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Preschool and Kindergarten Teachers","Preschool Teachers, Except Special Education",2022-02-02
"Detailed","25-2012","25-0000","25-2000","25-2010","25-2012","Kindergarten Teachers, Except Special Education","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Preschool and Kindergarten Teachers","Kindergarten Teachers, Except Special Education",2022-02-02
"Broad","25-2020","25-0000","25-2000","25-2020",NA,"Elementary and Middle School Teachers","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Elementary and Middle School Teachers",NA,2022-02-02
"Detailed","25-2021","25-0000","25-2000","25-2020","25-2021","Elementary School Teachers, Except Special Education","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Elementary and Middle School Teachers","Elementary School Teachers, Except Special Education",2022-02-02
"Detailed","25-2022","25-0000","25-2000","25-2020","25-2022","Middle School Teachers, Except Special and Career/Technical Education","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Elementary and Middle School Teachers","Middle School Teachers, Except Special and Career/Technical Education",2022-02-02
"Detailed","25-2023","25-0000","25-2000","25-2020","25-2023","Career/Technical Education Teachers, Middle School","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Elementary and Middle School Teachers","Career/Technical Education Teachers, Middle School",2022-02-02
"Broad","25-2030","25-0000","25-2000","25-2030",NA,"Secondary School Teachers","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Secondary School Teachers",NA,2022-02-02
"Detailed","25-2031","25-0000","25-2000","25-2030","25-2031","Secondary School Teachers, Except Special and Career/Technical Education","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Secondary School Teachers","Secondary School Teachers, Except Special and Career/Technical Education",2022-02-02
"Detailed","25-2032","25-0000","25-2000","25-2030","25-2032","Career/Technical Education Teachers, Secondary School","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Secondary School Teachers","Career/Technical Education Teachers, Secondary School",2022-02-02
"Broad","25-2050","25-0000","25-2000","25-2050",NA,"Special Education Teachers","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers",NA,2022-02-02
"Detailed","25-2051","25-0000","25-2000","25-2050","25-2051","Special Education Teachers, Preschool","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, Preschool",2022-02-02
"Detailed","25-2055","25-0000","25-2000","25-2050","25-2055","Special Education Teachers, Kindergarten","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, Kindergarten",2022-02-02
"Detailed","25-2056","25-0000","25-2000","25-2050","25-2056","Special Education Teachers, Elementary School","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, Elementary School",2022-02-02
"Detailed","25-2057","25-0000","25-2000","25-2050","25-2057","Special Education Teachers, Middle School","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, Middle School",2022-02-02
"Detailed","25-2058","25-0000","25-2000","25-2050","25-2058","Special Education Teachers, Secondary School","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, Secondary School",2022-02-02
"Detailed","25-2059","25-0000","25-2000","25-2050","25-2059","Special Education Teachers, All Other","Educational Instruction and Library Occupations","Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Special Education Teachers","Special Education Teachers, All Other",2022-02-02
"Minor","25-3000","25-0000","25-3000",NA,NA,"Other Teachers and Instructors","Educational Instruction and Library Occupations","Other Teachers and Instructors",NA,NA,2022-02-02
"Broad","25-3010","25-0000","25-3000","25-3010",NA,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Educational Instruction and Library Occupations","Other Teachers and Instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",NA,2022-02-02
"Detailed","25-3011","25-0000","25-3000","25-3010","25-3011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Educational Instruction and Library Occupations","Other Teachers and Instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2022-02-02
"Broad","25-3020","25-0000","25-3000","25-3020",NA,"Self-Enrichment Teachers","Educational Instruction and Library Occupations","Other Teachers and Instructors","Self-Enrichment Teachers",NA,2022-02-02
"Detailed","25-3021","25-0000","25-3000","25-3020","25-3021","Self-Enrichment Teachers","Educational Instruction and Library Occupations","Other Teachers and Instructors","Self-Enrichment Teachers","Self-Enrichment Teachers",2022-02-02
"Broad","25-3030","25-0000","25-3000","25-3030",NA,"Substitute Teachers, Short-Term","Educational Instruction and Library Occupations","Other Teachers and Instructors","Substitute Teachers, Short-Term",NA,2022-02-02
"Detailed","25-3031","25-0000","25-3000","25-3030","25-3031","Substitute Teachers, Short-Term","Educational Instruction and Library Occupations","Other Teachers and Instructors","Substitute Teachers, Short-Term","Substitute Teachers, Short-Term",2022-02-02
"Broad","25-3040","25-0000","25-3000","25-3040",NA,"Tutors","Educational Instruction and Library Occupations","Other Teachers and Instructors","Tutors",NA,2022-02-02
"Detailed","25-3041","25-0000","25-3000","25-3040","25-3041","Tutors","Educational Instruction and Library Occupations","Other Teachers and Instructors","Tutors","Tutors",2022-02-02
"Broad","25-3090","25-0000","25-3000","25-3090",NA,"Miscellaneous Teachers and Instructors","Educational Instruction and Library Occupations","Other Teachers and Instructors","Miscellaneous Teachers and Instructors",NA,2022-02-02
"Detailed","25-3099","25-0000","25-3000","25-3090","25-3099","Teachers and Instructors, All Other","Educational Instruction and Library Occupations","Other Teachers and Instructors","Miscellaneous Teachers and Instructors","Teachers and Instructors, All Other",2022-02-02
"Minor","25-4000","25-0000","25-4000",NA,NA,"Librarians, Curators, and Archivists","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists",NA,NA,2022-02-02
"Broad","25-4010","25-0000","25-4000","25-4010",NA,"Archivists, Curators, and Museum Technicians","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians",NA,2022-02-02
"Detailed","25-4011","25-0000","25-4000","25-4010","25-4011","Archivists","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Archivists",2022-02-02
"Detailed","25-4012","25-0000","25-4000","25-4010","25-4012","Curators","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Curators",2022-02-02
"Detailed","25-4013","25-0000","25-4000","25-4010","25-4013","Museum Technicians and Conservators","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Museum Technicians and Conservators",2022-02-02
"Broad","25-4020","25-0000","25-4000","25-4020",NA,"Librarians and Media Collections Specialists","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Librarians and Media Collections Specialists",NA,2022-02-02
"Detailed","25-4022","25-0000","25-4000","25-4020","25-4022","Librarians and Media Collections Specialists","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Librarians and Media Collections Specialists","Librarians and Media Collections Specialists",2022-02-02
"Broad","25-4030","25-0000","25-4000","25-4030",NA,"Library Technicians","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Library Technicians",NA,2022-02-02
"Detailed","25-4031","25-0000","25-4000","25-4030","25-4031","Library Technicians","Educational Instruction and Library Occupations","Librarians, Curators, and Archivists","Library Technicians","Library Technicians",2022-02-02
"Minor","25-9000","25-0000","25-9000",NA,NA,"Other Educational Instruction and Library Occupations","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations",NA,NA,2022-02-02
"Broad","25-9020","25-0000","25-9000","25-9020",NA,"Farm and Home Management Educators","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Farm and Home Management Educators",NA,2022-02-02
"Detailed","25-9021","25-0000","25-9000","25-9020","25-9021","Farm and Home Management Educators","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Farm and Home Management Educators","Farm and Home Management Educators",2022-02-02
"Broad","25-9030","25-0000","25-9000","25-9030",NA,"Instructional Coordinators","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Instructional Coordinators",NA,2022-02-02
"Detailed","25-9031","25-0000","25-9000","25-9030","25-9031","Instructional Coordinators","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Instructional Coordinators","Instructional Coordinators",2022-02-02
"Broad","25-9040","25-0000","25-9000","25-9040",NA,"Teaching Assistants","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Teaching Assistants",NA,2022-02-02
"Detailed","25-9042","25-0000","25-9000","25-9040","25-9042","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Teaching Assistants","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2022-02-02
"Detailed","25-9043","25-0000","25-9000","25-9040","25-9043","Teaching Assistants, Special Education","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Teaching Assistants","Teaching Assistants, Special Education",2022-02-02
"Detailed","25-9044","25-0000","25-9000","25-9040","25-9044","Teaching Assistants, Postsecondary","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Teaching Assistants","Teaching Assistants, Postsecondary",2022-02-02
"Detailed","25-9049","25-0000","25-9000","25-9040","25-9049","Teaching Assistants, All Other","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Teaching Assistants","Teaching Assistants, All Other",2022-02-02
"Broad","25-9090","25-0000","25-9000","25-9090",NA,"Miscellaneous Educational Instruction and Library Workers","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Miscellaneous Educational Instruction and Library Workers",NA,2022-02-02
"Detailed","25-9099","25-0000","25-9000","25-9090","25-9099","Educational Instruction and Library Workers, All Other","Educational Instruction and Library Occupations","Other Educational Instruction and Library Occupations","Miscellaneous Educational Instruction and Library Workers","Educational Instruction and Library Workers, All Other",2022-02-02
"Major","27-0000","27-0000",NA,NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",NA,NA,NA,2022-02-02
"Minor","27-1000","27-0000","27-1000",NA,NA,"Art and Design Workers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers",NA,NA,2022-02-02
"Broad","27-1010","27-0000","27-1000","27-1010",NA,"Artists and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers",NA,2022-02-02
"Detailed","27-1011","27-0000","27-1000","27-1010","27-1011","Art Directors","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Art Directors",2022-02-02
"Detailed","27-1012","27-0000","27-1000","27-1010","27-1012","Craft Artists","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Craft Artists",2022-02-02
"Detailed","27-1013","27-0000","27-1000","27-1010","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Fine Artists, Including Painters, Sculptors, and Illustrators",2022-02-02
"Detailed","27-1014","27-0000","27-1000","27-1010","27-1014","Special Effects Artists and Animators","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Special Effects Artists and Animators",2022-02-02
"Detailed","27-1019","27-0000","27-1000","27-1010","27-1019","Artists and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Artists and Related Workers, All Other",2022-02-02
"Broad","27-1020","27-0000","27-1000","27-1020",NA,"Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers",NA,2022-02-02
"Detailed","27-1021","27-0000","27-1000","27-1020","27-1021","Commercial and Industrial Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Commercial and Industrial Designers",2022-02-02
"Detailed","27-1022","27-0000","27-1000","27-1020","27-1022","Fashion Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Fashion Designers",2022-02-02
"Detailed","27-1023","27-0000","27-1000","27-1020","27-1023","Floral Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Floral Designers",2022-02-02
"Detailed","27-1024","27-0000","27-1000","27-1020","27-1024","Graphic Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Graphic Designers",2022-02-02
"Detailed","27-1025","27-0000","27-1000","27-1020","27-1025","Interior Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Interior Designers",2022-02-02
"Detailed","27-1026","27-0000","27-1000","27-1020","27-1026","Merchandise Displayers and Window Trimmers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Merchandise Displayers and Window Trimmers",2022-02-02
"Detailed","27-1027","27-0000","27-1000","27-1020","27-1027","Set and Exhibit Designers","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Set and Exhibit Designers",2022-02-02
"Detailed","27-1029","27-0000","27-1000","27-1020","27-1029","Designers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Designers, All Other",2022-02-02
"Minor","27-2000","27-0000","27-2000",NA,NA,"Entertainers and Performers, Sports and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",NA,NA,2022-02-02
"Broad","27-2010","27-0000","27-2000","27-2010",NA,"Actors, Producers, and Directors","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",NA,2022-02-02
"Detailed","27-2011","27-0000","27-2000","27-2010","27-2011","Actors","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors","Actors",2022-02-02
"Detailed","27-2012","27-0000","27-2000","27-2010","27-2012","Producers and Directors","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors","Producers and Directors",2022-02-02
"Broad","27-2020","27-0000","27-2000","27-2020",NA,"Athletes, Coaches, Umpires, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers",NA,2022-02-02
"Detailed","27-2021","27-0000","27-2000","27-2020","27-2021","Athletes and Sports Competitors","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Athletes and Sports Competitors",2022-02-02
"Detailed","27-2022","27-0000","27-2000","27-2020","27-2022","Coaches and Scouts","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Coaches and Scouts",2022-02-02
"Detailed","27-2023","27-0000","27-2000","27-2020","27-2023","Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Umpires, Referees, and Other Sports Officials",2022-02-02
"Broad","27-2030","27-0000","27-2000","27-2030",NA,"Dancers and Choreographers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers",NA,2022-02-02
"Detailed","27-2031","27-0000","27-2000","27-2030","27-2031","Dancers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers","Dancers",2022-02-02
"Detailed","27-2032","27-0000","27-2000","27-2030","27-2032","Choreographers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers","Choreographers",2022-02-02
"Broad","27-2040","27-0000","27-2000","27-2040",NA,"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers",NA,2022-02-02
"Detailed","27-2041","27-0000","27-2000","27-2040","27-2041","Music Directors and Composers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers","Music Directors and Composers",2022-02-02
"Detailed","27-2042","27-0000","27-2000","27-2040","27-2042","Musicians and Singers","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers","Musicians and Singers",2022-02-02
