"cat","varname","group","keepme","notes","creation_date"
"Race/ethnicity","chi_race_aic_nhpi","Not NHPI","No",NA,"2025-01-22"
"Race/ethnicity","chi_race_aic_oth","Not Other","No",NA,"2025-01-22"
"Race/ethnicity","chi_race_aic_oth","Other","Yes",NA,"2025-01-22"
"Race/ethnicity","chi_race_aic_wht","Not White","No",NA,"2025-01-22"
"Race/ethnicity","chi_race_aic_wht","White","Yes",NA,"2025-01-22"
"Race/ethnicity","chi_race_eth8","AIAN","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","Asian","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","Black","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","Hispanic","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","Multiple","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","NHPI","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","Other","Yes","Mutually exclusive race groups","2025-01-22"
"Race/ethnicity","chi_race_eth8","White","Yes","Mutually exclusive race groups","2025-01-22"
"Regions","chi_geo_region","East","Yes","Used for both the 2010 and 2020 vintages","2025-01-22"
"Regions","chi_geo_region","North","Yes","Used for both the 2010 and 2020 vintages","2025-01-22"
"Regions","chi_geo_region","Seattle","Yes","Used for both the 2010 and 2020 vintages","2025-01-22"
"Regions","chi_geo_region","South","Yes","Used for both the 2010 and 2020 vintages","2025-01-22"
"School district","district","Auburn School District","Yes",NA,"2025-01-22"
"School district","district","Bellevue School District","Yes",NA,"2025-01-22"
"School district","district","Enumclaw School District","Yes",NA,"2025-01-22"
"School district","district","Federal Way School District","Yes",NA,"2025-01-22"
"School district","district","Highline School District","Yes",NA,"2025-01-22"
"School district","district","Issaquah School District","Yes",NA,"2025-01-22"
"School district","district","Kent School District","Yes",NA,"2025-01-22"
"School district","district","Lake Washington School District","Yes",NA,"2025-01-22"
"School district","district","Mercer Island School District","Yes",NA,"2025-01-22"
"School district","district","Northshore School District","Yes",NA,"2025-01-22"
"School district","district","Renton School District","Yes",NA,"2025-01-22"
"School district","district","Riverview School District","Yes",NA,"2025-01-22"
"School district","district","Seattle School District","Yes",NA,"2025-01-22"
"School district","district","Shoreline School District","Yes",NA,"2025-01-22"
"School district","district","Skykomish School District","Yes",NA,"2025-01-22"
"School district","district","Snoqualmie Valley School District","Yes",NA,"2025-01-22"
"School district","district","Tahoma School District","Yes",NA,"2025-01-22"
"School district","district","Tukwila School District","Yes",NA,"2025-01-22"
"School district","district","Vashon Island School District","Yes",NA,"2025-01-22"
"Sexual orientation","chi_sexorien_2","Heterosexual","Yes",NA,"2025-01-22"
"Sexual orientation","chi_sexorien_2","LGB","Yes",NA,"2025-01-22"
"Sexual orientation","chi_sexorien_3","Heterosexual","Yes",NA,"2025-01-22"
"Sexual orientation","chi_sexorien_3","LGB+","Yes",NA,"2025-01-22"
"Sexual orientation","chi_sexorien_3","Not Sure","Yes",NA,"2025-01-22"
"Special education","spec_ed","Not special education","Yes",NA,"2025-01-22"
"Special education","spec_ed","Special education","Yes",NA,"2025-01-22"
"Transgender","transgender","Cisgender","Yes",NA,"2025-01-22"
"Transgender","transgender","Transgender","Yes",NA,"2025-01-22"
"Zip code","zipcode","98001","Yes",NA,"2025-01-22"
"Zip code","zipcode","98002","Yes",NA,"2025-01-22"
"Zip code","zipcode","98003","Yes",NA,"2025-01-22"
"Zip code","zipcode","98004","Yes",NA,"2025-01-22"
"Zip code","zipcode","98005","Yes",NA,"2025-01-22"
"Zip code","zipcode","98006","Yes",NA,"2025-01-22"
"Zip code","zipcode","98007","Yes",NA,"2025-01-22"
"Zip code","zipcode","98008","Yes",NA,"2025-01-22"
"Zip code","zipcode","98010","Yes",NA,"2025-01-22"
"Zip code","zipcode","98011","Yes",NA,"2025-01-22"
"Zip code","zipcode","98014","Yes",NA,"2025-01-22"
"Zip code","zipcode","98019","Yes",NA,"2025-01-22"
"Zip code","zipcode","98022","Yes",NA,"2025-01-22"
"Zip code","zipcode","98023","Yes",NA,"2025-01-22"
"Zip code","zipcode","98024","Yes",NA,"2025-01-22"
"Zip code","zipcode","98027","Yes",NA,"2025-01-22"
"Zip code","zipcode","98028","Yes",NA,"2025-01-22"
"Zip code","zipcode","98029","Yes",NA,"2025-01-22"
"Zip code","zipcode","98030","Yes",NA,"2025-01-22"
"Zip code","zipcode","98031","Yes",NA,"2025-01-22"
"Zip code","zipcode","98032","Yes",NA,"2025-01-22"
"Zip code","zipcode","98033","Yes",NA,"2025-01-22"
"Zip code","zipcode","98034","Yes",NA,"2025-01-22"
"Zip code","zipcode","98038","Yes",NA,"2025-01-22"
"Zip code","zipcode","98039","Yes",NA,"2025-01-22"
"Zip code","zipcode","98040","Yes",NA,"2025-01-22"
"Zip code","zipcode","98042","Yes",NA,"2025-01-22"
"Zip code","zipcode","98045","Yes",NA,"2025-01-22"
"Zip code","zipcode","98047","Yes",NA,"2025-01-22"
"Zip code","zipcode","98050","Yes",NA,"2025-01-22"
"Zip code","zipcode","98051","Yes",NA,"2025-01-22"
"Zip code","zipcode","98052","Yes",NA,"2025-01-22"
"Zip code","zipcode","98053","Yes",NA,"2025-01-22"
"Zip code","zipcode","98055","Yes",NA,"2025-01-22"
"Zip code","zipcode","98056","Yes",NA,"2025-01-22"
"Zip code","zipcode","98057","Yes",NA,"2025-01-22"
"Zip code","zipcode","98058","Yes",NA,"2025-01-22"
"Zip code","zipcode","98059","Yes",NA,"2025-01-22"
"Zip code","zipcode","98065","Yes",NA,"2025-01-22"
"Zip code","zipcode","98068","Yes",NA,"2025-01-22"
"Zip code","zipcode","98070","Yes",NA,"2025-01-22"
"Zip code","zipcode","98072","Yes",NA,"2025-01-22"
"Zip code","zipcode","98074","Yes",NA,"2025-01-22"
"Zip code","zipcode","98075","Yes",NA,"2025-01-22"
"Zip code","zipcode","98077","Yes",NA,"2025-01-22"
"Zip code","zipcode","98092","Yes",NA,"2025-01-22"
"Zip code","zipcode","98101","Yes",NA,"2025-01-22"
"Zip code","zipcode","98102","Yes",NA,"2025-01-22"
"Zip code","zipcode","98103","Yes",NA,"2025-01-22"
"Zip code","zipcode","98104","Yes",NA,"2025-01-22"
"Zip code","zipcode","98105","Yes",NA,"2025-01-22"
"Zip code","zipcode","98106","Yes",NA,"2025-01-22"
"Zip code","zipcode","98107","Yes",NA,"2025-01-22"
"Zip code","zipcode","98108","Yes",NA,"2025-01-22"
"Zip code","zipcode","98109","Yes",NA,"2025-01-22"
"Zip code","zipcode","98112","Yes",NA,"2025-01-22"
"Zip code","zipcode","98115","Yes",NA,"2025-01-22"
"Zip code","zipcode","98116","Yes",NA,"2025-01-22"
"Zip code","zipcode","98117","Yes",NA,"2025-01-22"
"Zip code","zipcode","98118","Yes",NA,"2025-01-22"
"Zip code","zipcode","98119","Yes",NA,"2025-01-22"
"Zip code","zipcode","98121","Yes",NA,"2025-01-22"
"Zip code","zipcode","98122","Yes",NA,"2025-01-22"
"Zip code","zipcode","98125","Yes",NA,"2025-01-22"
"Zip code","zipcode","98126","Yes",NA,"2025-01-22"
"Zip code","zipcode","98133","Yes",NA,"2025-01-22"
"Zip code","zipcode","98134","Yes",NA,"2025-01-22"
"Zip code","zipcode","98136","Yes",NA,"2025-01-22"
"Zip code","zipcode","98144","Yes",NA,"2025-01-22"
"Zip code","zipcode","98146","Yes",NA,"2025-01-22"
"Zip code","zipcode","98148","Yes",NA,"2025-01-22"
"Zip code","zipcode","98155","Yes",NA,"2025-01-22"
"Zip code","zipcode","98164","Yes",NA,"2025-01-22"
"Zip code","zipcode","98166","Yes",NA,"2025-01-22"
"Zip code","zipcode","98168","Yes",NA,"2025-01-22"
"Zip code","zipcode","98177","Yes",NA,"2025-01-22"
"Zip code","zipcode","98178","Yes",NA,"2025-01-22"
"Zip code","zipcode","98188","Yes",NA,"2025-01-22"
"Zip code","zipcode","98195","Yes",NA,"2025-01-22"
"Zip code","zipcode","98198","Yes",NA,"2025-01-22"
"Zip code","zipcode","98199","Yes",NA,"2025-01-22"
"Zip code","zipcode","98224","Yes",NA,"2025-01-22"
"Zip code","zipcode","98288","Yes",NA,"2025-01-22"
"Zip code","zipcode","98354","Yes",NA,"2025-01-22"
"Zip code","zipcode","98422","Yes",NA,"2025-01-22"
"[Birthing person's] Ethnicity","race3","Hispanic","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `ethnicity` for birth data source.","2025-01-22"
"[Birthing person's] Ethnicity","race3","Non-Hispanic","No","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `ethnicity` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","AIAN","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","Asian","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","Black","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","Multiple","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","NHPI","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race3","White","Yes","OMB 97 categories (Hispanic as ethnicity). Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","AIAN","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","Asian","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","Black","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","Hispanic","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","Multiple","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","NHPI","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
"[Birthing person's] Race","race4","White","Yes","Hispanic as race. Add `Birthing person's` in front of `race` for birth data source.","2025-01-22"
